NId,CommunityId
4102,0
4117,0
4130,0
4157,0
4190,0
4192,0
4197,0
4198,0
4229,0
4231,0
4232,0
4234,0
4236,0
4237,0
4238,0
4810,0
4855,0
4856,0
5005,0
5012,0
5088,0
5099,0
5119,0
77,0
79,0
1477,0
1502,0
1519,0
1539,0
2029,0
2081,0
2082,0
2083,0
2084,0
2085,0
2086,0
2087,0
2088,0
2089,0
2090,0
2091,0
2092,0
2093,0
2094,0
2095,0
2096,0
2097,0
2098,0
2099,0
2100,0
2101,0
2102,0
2103,0
2104,0
2105,0
2106,0
2107,0
2108,0
2109,0
2110,0
2111,0
2113,0
2572,0
2591,0
2693,0
2753,0
3288,0
3391,0
3426,0
3523,0
3525,0
3526,0
3604,0
3779,0
3852,0
3855,0
3859,0
3860,0
3869,0
3873,0
3938,0
3939,0
3940,0
3950,0
3976,0
4008,0
4095,0
4241,0
4850,0
5013,0
5014,0
5158,0
5181,0
5183,0
5185,0
5202,0
5220,0
5250,0
1769,0
2031,0
2033,0
2035,0
2429,0
2874,0
2875,0
2877,0
2960,0
3022,0
3024,0
4258,0
4807,0
4730,0
29,0
1234,0
1749,0
1786,0
1853,0
1872,0
2133,0
2191,0
2361,0
2362,0
3078,0
3079,0
3080,0
3081,0
3082,0
3083,0
3084,0
3086,0
3510,0
4036,0
4145,0
4284,0
31,0
36,0
994,0
3614,0
32,0
33,0
988,0
34,0
989,0
990,0
991,0
35,0
1000,0
37,0
999,0
38,0
39,0
1149,0
2209,0
2341,0
4286,0
4661,0
4663,0
4667,0
4699,0
3867,0
2207,0
2756,0
134,0
2773,0
3194,0
4427,0
4435,0
5301,0
1249,0
1757,0
1832,0
3678,0
57,0
58,0
59,0
60,0
61,0
3616,0
62,0
3617,0
3663,0
3798,0
2000,0
2001,0
2927,0
2928,0
3146,0
3147,0
3440,0
73,0
149,0
2760,0
2762,0
2764,0
2766,0
2768,0
2770,0
2873,0
3215,0
3216,0
3218,0
3244,0
3866,0
74,0
1350,0
2761,0
2763,0
2765,0
2767,0
2769,0
2771,0
2872,0
3217,0
3219,0
3220,0
4152,0
3497,0
4248,0
4249,0
4281,0
1370,0
1703,0
2597,0
1702,0
2596,0
3028,0
3415,0
3416,0
3917,0
3918,0
3919,0
4296,0
4742,0
4413,0
4414,0
4415,0
4416,0
4417,0
4418,0
4434,0
4458,0
4163,0
2620,0
86,0
680,0
1564,0
4047,0
4297,0
4405,0
4406,0
4407,0
4408,0
4409,0
4410,0
4411,0
4429,0
4420,0
4426,0
2604,0
1376,0
1380,0
3071,0
4423,0
4431,0
4438,0
4443,0
4447,0
4450,0
4452,0
2120,0
2678,0
131,0
2030,0
2687,0
2688,0
4154,0
4155,0
132,0
133,0
4441,0
4442,0
4444,0
4445,0
139,0
2002,0
2049,0
2053,0
2056,0
2059,0
2063,0
2066,0
2070,0
2114,0
2117,0
2121,0
2124,0
2127,0
2130,0
2134,0
2137,0
2142,0
2150,0
2153,0
2156,0
2159,0
2162,0
2165,0
2652,0
2654,0
2655,0
2658,0
2660,0
2743,0
2937,0
3161,0
3167,0
3234,0
3250,0
3281,0
3305,0
3309,0
3310,0
3324,0
3488,0
3489,0
3490,0
3491,0
3492,0
3498,0
3500,0
3502,0
3503,0
3504,0
3505,0
3506,0
3533,0
3534,0
3535,0
3599,0
3602,0
3942,0
4182,0
4183,0
4184,0
4185,0
4187,0
4188,0
4282,0
4734,0
4735,0
141,0
2706,0
3068,0
4086,0
4125,0
189,0
4214,0
198,0
218,0
247,0
248,0
249,0
673,0
674,0
2612,0
3763,0
4146,0
4459,0
3857,0
3424,0
2857,0
3886,0
199,0
4255,0
4736,0
3988,0
2919,0
1937,0
4422,0
4430,0
4437,0
4446,0
2935,0
3882,0
1945,0
3186,0
1348,0
2412,0
3145,0
4136,0
4137,0
4662,0
4665,0
769,0
770,0
4087,0
678,0
3159,0
3205,0
3225,0
692,0
1017,0
3027,0
1372,0
2670,0
2955,0
3043,0
732,0
717,0
3646,0
718,0
719,0
720,0
3769,0
5275,0
5273,0
4181,0
1101,0
1103,0
1213,0
1217,0
3031,0
3032,0
3294,0
4263,0
3289,0
779,0
3475,0
780,0
782,0
2665,0
4259,0
2721,0
2739,0
784,0
1366,0
787,0
1033,0
1034,0
1243,0
1245,0
1246,0
1607,0
1638,0
1639,0
1640,0
1641,0
2574,0
2580,0
2588,0
3259,0
3380,0
4795,0
4796,0
4798,0
4887,0
4918,0
5149,0
789,0
790,0
1479,0
1504,0
1521,0
1541,0
3302,0
3991,0
4071,0
4094,0
4240,0
4242,0
4243,0
4244,0
4245,0
4246,0
791,0
792,0
834,0
4299,0
4748,0
3395,0
3521,0
897,0
2342,0
3149,0
1288,0
895,0
1760,0
3248,0
3249,0
3613,0
898,0
3792,0
1759,0
985,0
3669,0
3728,0
3565,0
992,0
993,0
995,0
996,0
997,0
998,0
1003,0
3474,0
1883,0
1888,0
1890,0
1892,0
1897,0
1906,0
1909,0
1920,0
1923,0
2454,0
4700,0
1005,0
1007,0
1008,0
1390,0
1735,0
1795,0
4099,0
1013,0
1904,0
1913,0
1919,0
1924,0
1931,0
3012,0
1015,0
1809,0
1882,0
1886,0
1893,0
1895,0
1902,0
1912,0
1918,0
1928,0
1930,0
3006,0
4132,0
1908,0
1910,0
1911,0
1915,0
3623,0
3624,0
1794,0
1797,0
1799,0
1801,0
1803,0
1805,0
1868,0
5254,0
5258,0
1281,0
1291,0
3746,0
3847,0
4799,0
5306,0
1022,0
2676,0
1028,0
3643,0
1029,0
2380,0
3905,0
5210,0
1148,0
5213,0
1070,0
1072,0
3660,0
3679,0
3752,0
1075,0
1120,0
5249,0
1121,0
3637,0
1087,0
1088,0
1090,0
1119,0
2819,0
3089,0
3284,0
4965,0
5002,0
3591,0
1124,0
3362,0
1117,0
3638,0
3512,0
3517,0
3516,0
3518,0
4222,0
4223,0
4224,0
4225,0
4226,0
4227,0
4228,0
3922,0
1118,0
1122,0
1123,0
2862,0
3711,0
3636,0
1131,0
1132,0
1146,0
1147,0
1151,0
1158,0
1163,0
4424,0
4432,0
4439,0
4448,0
4453,0
4455,0
4952,0
5159,0
5160,0
5161,0
1181,0
1178,0
1179,0
1180,0
1182,0
1188,0
1189,0
3941,0
1225,0
1375,0
3564,0
3966,0
1228,0
1235,0
1279,0
2382,0
2400,0
2933,0
3405,0
4133,0
4215,0
4216,0
4419,0
4660,0
4664,0
4698,0
4879,0
1250,0
1574,0
1578,0
1582,0
1768,0
1770,0
1773,0
1776,0
3654,0
3764,0
3875,0
3982,0
4009,0
4075,0
4749,0
2556,0
4042,0
2557,0
5246,0
1293,0
1295,0
3412,0
2782,0
2783,0
4134,0
4135,0
1329,0
1330,0
1331,0
1332,0
1333,0
1334,0
1335,0
1336,0
1337,0
1349,0
1361,0
1362,0
1374,0
2383,0
2401,0
2573,0
2611,0
2628,0
2638,0
2742,0
3951,0
4049,0
4741,0
2951,0
4138,0
4144,0
4148,0
4705,0
3047,0
1392,0
1869,0
3178,0
4825,0
1447,0
4886,0
5134,0
1563,0
1452,0
3906,0
4129,0
5238,0
3692,0
2609,0
3331,0
3160,0
1716,0
1717,0
1731,0
1741,0
1743,0
3695,0
4436,0
4440,0
3515,0
1620,0
1625,0
3686,0
1674,0
3814,0
